Action ID,Action,Received by SMS provider,Delivered,Unique transitions,Total transitions,Unique visits ?
1341148,Согласие 3 [ТРЕТЬЯ ВЕТКА],3,,4,4,NaN% (1)
1341149,Среднезаинтересован 3 Третья ветка,2,2,8,8,100.00% (2)
1341151,Сброс 3 [ТРЕТЬЯ ВЕТКА],5,1,20,20,500.00% (5)
1341164,Сброс 3 [ВТОРАЯ ВЕТКА],5,3,20,20,166.67% (5)
1341170,Среднезаинтересован 3 Вторая ветка,2,,4,4,NaN% (1)
1341175,Сброс 3 [ПЕРВАЯ ВЕТКА],9,3,24,24,200.00% (6)
1341178,Ассистент 3 [ПЕРВАЯ ВЕТКА],1,,4,4,NaN% (1)
1341180,Среднезаинтересован 3 Первая ветка,2,,8,8,NaN% (2)
1341184,Отправка СМС согласие [ТРЕТЬЯ ВЕТКА],5,3,2,2,33.33% (1)
1341192,SMS Сброс [ПЕРВАЯ ВЕТКА],77,66,47,47,12.12% (8)
1341193,Сброс 2 [ПЕРВАЯ ВЕТКА],12,3,0,0,NaN% ()
1341195,SMS Ассистент [ПЕРВАЯ ВЕТКА],1,,0,0,NaN% ()
1341197,Ассистент 2 [ПЕРВАЯ ВЕТКА],1,,0,0,NaN% ()
1341198,СМС дожим CASUAL,4,3,1,1,0.00% ()
1341199,СМС дожим CASUAL,6,6,5,5,33.33% (2)
1341200,СМС дожим CASUAL,3,3,3,3,0.00% ()
1341201,Отправка СМС согласие [ПЕРВАЯ ВЕТКА],10,9,8,8,33.33% (3)
1341202,Среднезаинтересован 2 Третья ветка,3,,0,0,NaN% ()
1341203,Среднезаинтересован Третья ветка,33,32,38,40,34.38% (11)
1341204,Среднезаинтересован 2 Вторая ветка,5,3,0,0,NaN% ()
1341205,Среднезаинтересован Вторая ветка,23,21,9,9,0.00% ()
1341206,Отправка СМС согласие [ВТОРАЯ ВЕТКА],9,9,9,10,33.33% (3)
1341207,Среднезаинтереносван Первая ветка,21,19,10,10,0.00% ()
1341208,СМС дожим 2 CASUAL,1,1,0,0,NaN% ()
1341246,Сброс 2 [ВТОРАЯ ВЕТКА],7,2,0,0,NaN% ()
1341262,СМС дожим 2 ФИНАЛ CASUAL,2,2,1,1,0.00% ()
1341265,Сброс 2 [ТРЕТЬЯ ВЕТКА],8,3,1,1,0.00% ()
1341274,SMS Сброс [ТРЕТЬЯ ВЕТКА],63,58,47,54,13.79% (8)
1341297,СМС дожим ФИНАЛ CASUAL,1,,1,1,NaN% ()
1341298,SMS Сброс [ВТОРАЯ ВЕТКА],68,62,56,56,16.13% (10)
1341301,СМС дожим 2 ФИНАЛ CASUAL,1,1,0,0,NaN% ()
1341413,Согласие 2 [ПЕРВАЯ ВЕТКА],1,1,0,0,NaN% ()
1341415,Согласие 2 [ТРЕТЬЯ ВЕТКА],3,,0,0,NaN% ()
1341417,Среднезаинтересован 2 Первая ветка,2,,0,0,NaN% ()
